"based"
"blockchain"
"blockchainbased"
"research"
"analysis"
"using"
"data"
"chapter"
"index"
"use"
"block"
"review"
"approach"
"analisys"
"survey"
"blockchains"
"system"
"technology"
"towards"
"can"
"der"
"new"
"news"
"networks"
"network"
"systems"
"und"
"smart"
"smarts"
